Organization,State,Categories,Contact
Sadhna,rajasthan,"Livelihood, Women Empowerment",Tel:  9413318650 Email:  sadhna@sadhna.org Website:  http://www.sadhna.org
Sadk Masih Medical Social Servant Society,andhra pradesh,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,assam,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,bihar,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,delhi,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,haryana,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,jammu & kashmir,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,jharkhand,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,kerala,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,madhya pradesh,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,maharashtra,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,manipur,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,odisha,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,punjab,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,rajasthan,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,sikkim,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,tamil nadu,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,telangana,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,tripura,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,uttarakhand,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,uttar pradesh,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Sadk Masih Medical Social Servant Society,west bengal,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811025437 Email:  smmsss94@gmail.com Website:  http://www.sadikmasihindia.org.in
Safe Society,uttar pradesh,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9839339403 Email:  safesociety1@gmail.com Website:  https://safesociety.in
Sahithi Foundation,andhra pradesh,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9989665899 Email:  sahithifoundation2013@gmail.com Website:  http://www.sahithifoundationngo.org
Sahithi Foundation,maharashtra,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9989665899 Email:  sahithifoundation2013@gmail.com Website:  http://www.sahithifoundationngo.org
Sahithi Foundation,telangana,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9989665899 Email:  sahithifoundation2013@gmail.com Website:  http://www.sahithifoundationngo.org
Sahithi Foundation,uttar pradesh,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9989665899 Email:  sahithifoundation2013@gmail.com Website:  http://www.sahithifoundationngo.org
Sahyadri Community Development & Women Empowerment Society (SCODWES),goa,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment","Tel:  9448609618, 9449629939 Email:  scodwes@rediffmail.com Website:  http://www.scodwes.com"
Sahyadri Community Development & Women Empowerment Society (SCODWES),karnataka,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment","Tel:  9448609618, 9449629939 Email:  scodwes@rediffmail.com Website:  http://www.scodwes.com"
Sahyadri Gramin Vikas Va Bahuudheshiya Yuvak Kalyan Sanstha,maharashtra,"Education, Health, Livelihood, Rural Development",Tel:  9860998972 Email:  sahyadri.lws@gmail.com Website:  http://www.sahyadrifoundation.org
Sahyadri Nisarga Mitra,maharashtra,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9423831700 Email:  sahyadricpn@gmail.com Website:  https://www.snmcpn.org/
Sahyadri Nisarga Mitra,nagaland,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9423831700 Email:  sahyadricpn@gmail.com Website:  https://www.snmcpn.org/
Sahyadri Shikshan Prasarak Mandal,maharashtra,"Environment, Health",Tel:  9325024664 Email:  sspm20018@gmail.com Website:  http://www.ngosspm.org
Sahyog Care For You,chandigarh,"Education, Environment, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811069292 Email:  sahyog.careforyou@gmail.com Website:  https://sahyogcare4u.org
Sahyog Care For You,delhi,"Education, Environment, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811069292 Email:  sahyog.careforyou@gmail.com Website:  https://sahyogcare4u.org
Sahyog Care For You,haryana,"Education, Environment, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811069292 Email:  sahyog.careforyou@gmail.com Website:  https://sahyogcare4u.org
Sahyog Care For You,himachal pradesh,"Education, Environment, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811069292 Email:  sahyog.careforyou@gmail.com Website:  https://sahyogcare4u.org
Sahyog Care For You,maharashtra,"Education, Environment, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811069292 Email:  sahyog.careforyou@gmail.com Website:  https://sahyogcare4u.org
Sahyog Care For You,odisha,"Education, Environment, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811069292 Email:  sahyog.careforyou@gmail.com Website:  https://sahyogcare4u.org
Sahyog Care For You,telangana,"Education, Environment, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811069292 Email:  sahyog.careforyou@gmail.com Website:  https://sahyogcare4u.org
Sahyog Care For You,uttar pradesh,"Education, Environment, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811069292 Email:  sahyog.careforyou@gmail.com Website:  https://sahyogcare4u.org
Sakaar Outreach,delhi,"Education, Environment, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9910082618 Email:  sakaaroutreach@rediffmail.com Website:  http://www.sakaaroutreach.org
Sakaar Outreach,gujarat,"Education, Environment, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9910082618 Email:  sakaaroutreach@rediffmail.com Website:  http://www.sakaaroutreach.org
Sakaar Outreach,haryana,"Education, Environment, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9910082618 Email:  sakaaroutreach@rediffmail.com Website:  http://www.sakaaroutreach.org
Sakaar Outreach,uttar pradesh,"Education, Environment, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9910082618 Email:  sakaaroutreach@rediffmail.com Website:  http://www.sakaaroutreach.org
Sakhi,bihar,"Agriculture, Disaster Prevention, Education, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment","Tel:  9431021204, 9931400000 Email:  sakhibihar@gmail.com Website:  http://www.sakhibihar.org"
Sakshi,delhi,"Education, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811233595 Email:  sakshi.cec@gmail.com Website:  http://www.sakshingo.org
Sakshi,haryana,"Education, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811233595 Email:  sakshi.cec@gmail.com Website:  http://www.sakshingo.org
Sakshi,uttar pradesh,"Education, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811233595 Email:  sakshi.cec@gmail.com Website:  http://www.sakshingo.org
Sakti,karnataka,"Education, Livelihood, Rural Development, Women Empowerment",Tel:  9449856105 Email:  sakti-ngo@hotmail.com Website:  http://www.sakti-ngo.org/
Samaj Kalyan Foundation,jharkhand,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9439960888 Email:  skfodisha@rediffmail.com Website:  http://www.skfindia.in
Samaj Kalyan Foundation,odisha,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9439960888 Email:  skfodisha@rediffmail.com Website:  http://www.skfindia.in
Samaj Kalyan Foundation,west bengal,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9439960888 Email:  skfodisha@rediffmail.com Website:  http://www.skfindia.in
Samaj Pragati Kendra,jharkhand,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9122068159 Email:  samajspk@gmail.com Website:  http://www.spkjharkhand.com
Samaritan Resource Centre,manipur,"Environment, Women Empowerment",Tel:  9856458734 Email:  srcmanipur19@gmail.com Website:  http://www.srcmanipur20.com
Samarpan Jan Kalyan Samiti,uttar pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9919139321 Email:  sjkskonch@gmail.com Website:  https://samarpankonch.org/
Samarpan Society For Health Research & Development,uttarakhand,"Disaster Prevention, Education, Health, Rural Development, Women Empowerment",Tel:  9412058970 Email:  samarpanhealth@gmail.com Website:  http://samarpankmc.com/
Samarth Sanstha,madhya pradesh,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9589024590 Email:  samarth.mp@gmail.com Website:  http://samarthmp.in
Samarthanam Trust For The Disabled,andhra pradesh,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9480809595 Email:  mahantesh@samarthanam.org Website:  https://www.samarthanam.org
Samarthanam Trust For The Disabled,karnataka,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9480809595 Email:  mahantesh@samarthanam.org Website:  https://www.samarthanam.org
Samarthanam Trust For The Disabled,kerala,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9480809595 Email:  mahantesh@samarthanam.org Website:  https://www.samarthanam.org
Samarthanam Trust For The Disabled,maharashtra,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9480809595 Email:  mahantesh@samarthanam.org Website:  https://www.samarthanam.org
